,index,job_title,company,city,description,technologies,position_level,contract,model_work,exp_date,url
307,307,Mid Data Scientist / Data Engineer,Transition Technologies–Systems Sp. z o. o.,"Warszawa, Wola","Twój zakres obowiązków, wdrażanie i rozwijanie rozwiązań AI w oparciu o istniejące lub nowe produkty Grupy, wybór narzędzi i technologii AI w zależności od specyfiki danego działu, obszaru, projektu, codzienna współpraca z zespołami programistów i...","{Python,Azure}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Umowa zlecenie"",""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-07-02,"https://www.pracuj.pl/praca/mid-data-scientist-data-engineer-warszawa-zubra-1,oferta,1004137886"
308,308,Analityk Biznesowy / obszar BI,Medicover,Warszawa,"Twój zakres obowiązków, Koordynacja cyklicznego raportowania wskaźników KPI, Utrzymanie i rozwój raportów, dashboardów, narzędzi analitycznych i modeli danych, Przygotowywanie prezentacji, analiz ad hoc, materiałów na spotkania biznesowe,...","{""Microsoft Power BI"",SQL,Python}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-10,"https://www.pracuj.pl/praca/analityk-biznesowy-obszar-bi-warszawa-aleje-jerozolimskie-96,oferta,1004157753"
309,309,Snowflake Engineer,Sii Sp. z o.o.,"Białystok, Centrum","Twój zakres obowiązków, Projektowanie i implementacja modeli danych w środowisku Snowflake, Budowa i optymalizacja procesów ETL/ELT z wykorzystaniem Snowflake SQL oraz narzędzi takich jak dbt, Airflow, Talend, Analiza i optymalizacja zapytań w...","{Snowflake,Python,ETL,SQL}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca stacjonarna"",""Praca zdalna"",""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/snowflake-engineer-bialystok-jozefa-marjanskiego-3,oferta,1004172685"
310,310,Regular IT Support Engineer - IT Services (Atlassian Focus),SQUARE ONE RESOURCES sp. z o.o.,Lublin,"Your responsibilities, Manage, configure, and optimize Atlassian tools (Jira, Confluence), both on-premise and in the cloud., Maintain system integrity and availability for end users., Provide technical support and troubleshoot issues related to...","{Jira,Confluence,AWS,Groovy,JavaScript,Python,Bash}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-05,"https://www.pracuj.pl/praca/regular-it-support-engineer-it-services-atlassian-focus-lublin,oferta,1004147961"
311,311,Python Developer,Integral Solutions,"Warszawa, Śródmieście","Your responsibilities, Working on a project for a client in the banking sector...","{Python,Jira,SQL,Linux,Jenkins,Nexus}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-06-20,"https://www.pracuj.pl/praca/python-developer-warszawa-ksiedza-skorupki-5,oferta,1004113851"
312,312,Administrator Systemów Linux,Atman sp. z o.o.,"Warszawa, Praga-Południe","Twój zakres obowiązków, Administrowanie systemami z rodziny Linux będące elementem utrzymania jednej z największych w kraju infrastruktur serwerów dedykowanych,, Rozwój i utrzymanie usługi DNS oraz systemów wsparcia np. Zabbix, LibreNMS, Grafana...","{Debian,Ubuntu,Bash,Python,VMware,Zabbix,Perl}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-06-22,"https://www.pracuj.pl/praca/administrator-systemow-linux-warszawa-grochowska-21a,oferta,1004119587"
313,313,Programista Big Data,B2B.NET S.A.,Warszawa,"Twój zakres obowiązków, Projektowanie i rozwój systemów teleinformatycznych, Integracja aplikacji z systemami zewnętrznymi, Instalacja, konfiguracja i testowanie aplikacji, Tworzenie i aktualizacja dokumentacji technicznej, Identyfikowanie i...","{Python,""Apache Spark"",""Apache Airflow"",SQL,Hadoop}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-07-02,"https://www.pracuj.pl/praca/programista-big-data-warszawa,oferta,1004137551"
314,314,QA Engineer (Python + Robot Framework),B2B.NET S.A.,Gdańsk,"Twój zakres obowiązków, Testowanie RESTful API (manualnie i automatycznie), Tworzenie i wykonywanie przypadków testowych, Automatyzacja testów w Robot Framework, Programowanie w Pythonie na potrzeby testów, Analiza wymagań z perspektywy QA,...","{""Robot Framework"",Python}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-10,"https://www.pracuj.pl/praca/qa-engineer-python-%2b-robot-framework-gdansk,oferta,1004157623"
315,315,Mid Security Engineer (DevSecOps),Ringier Axel Springer Polska Sp. z o.o.,"Kraków, Stare Miasto","Twój zakres obowiązków, Implementacja narzędzi do automatycznego skanowania podatności w pipeline'ach CI/CD, Wsparcie zespołów deweloperskich w zakresie bezpiecznego wytwarzania kodu, Przeprowadzanie testów bezpieczeństwa aplikacji (SAST, DAST,...","{Python,Git,PowerShell}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-02,"https://www.pracuj.pl/praca/mid-security-engineer-devsecops-krakow-aleja-29-listopada-20,oferta,1004137513"
316,316,Big Data Engineer,Team Connect Sp. z o.o.,Warszawa,"Twój zakres obowiązków, Dla jednego z naszych Klientów, z branży zdrowotnej poszukujemy osoby na stanowisko Big Data Engineer....","{Python,""Apache Spark"",""Apache Airflow"",SQL,Hadoop,Git}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca zdalna""}",2025-07-02,"https://www.pracuj.pl/praca/big-data-engineer-warszawa,oferta,1004137489"
317,317,Programista AI,KGHM Polska Miedź S.A.,Lubin,"Twój zakres obowiązków, implementacja oraz wdrażanie rozwiązań AI, utrzymanie wdrożonych rozwiązań oraz współpraca z odbiorcami biznesowymi na etapie eksploatacji, współpraca z innymi programistami oraz Architektem Rozwiązań AI, śledzenie...","{Python,R,SQL,TensorFlow,Keras,PyTorch}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca stacjonarna"",""Praca hybrydowa""}",2025-06-23,"https://www.pracuj.pl/praca/programista-ai-lubin-marii-sklodowskiej-curie-45b,oferta,1004157592"
318,318,Software Engineer II - Data Lineage,Google,"Warszawa, Śródmieście","Your responsibilities, Contribute to design, implement, and launch new features., Participate in monitoring and debugging efforts, and support frequent releases., Manage individual priorities, timelines and deliverables., Communicate well with...","{Python,C,C++,Java,JavaScript}","{""Młodszy specjalista (Junior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/software-engineer-ii-data-lineage-warszawa-emilii-plater-53,oferta,1004141308"
319,319,Data & BI Support Specialist,summ-it s.a.,"Kraków, Prądnik Czerwony","Twój zakres obowiązków, Monitorowanie i utrzymanie istniejących rozwiązań platformy danych, Rozwiązywanie problemów związanych z procesami ETL/ELT, Wsparcie we wdrożeniu nowych procesów ETL/ELT, Utrzymanie i optymalizacja baz danych i data...","{Databricks,AAS,""Synapse Analytics"",""Azure Data Factory"",Python,Scala,""Azure Synapse"",""Microsoft Power BI"",""Microsoft SQL Server""}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-07-10,"https://www.pracuj.pl/praca/data-bi-support-specialist-krakow-opolska-110,oferta,1004157555"
320,320,Administrator IT / Inżynier Systemowy,PERSONNEL RECRUITMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Nowy Sącz,"Twój zakres obowiązków, Administracja i utrzymanie infrastruktury serwerowej (Proxmox, VMware, Windows/Linux Server)., Zarządzanie siecią produkcyjną i biurową (LAN/WAN/VPN/Wi-Fi) oraz urządzeniami sieciowymi (firewalle, routery, switche).,...","{Proxmox,VMware,""Windows Server"",Debian,CentOS,Ubuntu,Hyper-V,Docker,Kubernetes,Veeam,Bacula,rsync,Ansible,Terraform,PowerShell,Python,Grafana,Prometheus,Zabbix,PRTG,MSSQL}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca stacjonarna""}",2025-07-10,"https://www.pracuj.pl/praca/administrator-it-inzynier-systemowy-nowy-sacz,oferta,1004157543"
321,321,Technical Solutions Consultant - Android Auto Partner Engineering,Google,Kraków,"Your responsibilities, Manage workstreams with car manufacturers and the suppliers globally as part of multi-year partner programs., Manage relationships with external stakeholders (car manufacturers) and internal stakeholders., Support pre-sales...","{Python,Java,Kotlin,Rust,C,C++}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-03,"https://www.pracuj.pl/praca/technical-solutions-consultant-android-auto-partner-engineering-krakow,oferta,1004141240"
